Profile 1;Profile 1;
x;y;
[m];[m];
0;-5.9752667e-08;
9.2252231e-11;-5.9786401e-08;
1.8450446e-10;-5.9766602e-08;
2.7675669e-10;-5.9836081e-08;
3.6900893e-10;-5.9899202e-08;
4.6126116e-10;-5.984328e-08;
5.5351339e-10;-5.9786099e-08;
6.4576562e-10;-5.9773139e-08;
7.3801785e-10;-5.9781017e-08;
8.3027008e-10;-5.9834511e-08;
9.2252231e-10;-5.9875484e-08;
1.0147745e-09;-5.9839705e-08;
1.1070268e-09;-5.9835845e-08;
1.199279e-09;-5.9922504e-08;
1.2915312e-09;-5.9915985e-08;
1.3837835e-09;-5.995087e-08;
1.4760357e-09;-5.9947905e-08;
1.5682879e-09;-5.9954783e-08;
1.6605402e-09;-6.0057768e-08;
1.7527924e-09;-6.0356221e-08;
1.8450446e-09;-6.0634724e-08;
1.9372969e-09;-6.0648989e-08;
2.0295491e-09;-6.0711219e-08;
2.1218013e-09;-6.0731213e-08;
2.2140536e-09;-6.06991e-08;
2.3063058e-09;-6.070011e-08;
2.398558e-09;-6.0673596e-08;
2.4908102e-09;-6.0587507e-08;
2.5830625e-09;-6.0495078e-08;
2.6753147e-09;-6.0465128e-08;
2.7675669e-09;-6.0493873e-08;
2.8598192e-09;-6.053181e-08;
2.9520714e-09;-6.059328e-08;
3.0443236e-09;-6.0605285e-08;
3.1365759e-09;-6.0571706e-08;
3.2288281e-09;-6.0529669e-08;
3.3210803e-09;-6.0498077e-08;
3.4133326e-09;-6.0484763e-08;
3.5055848e-09;-6.0480289e-08;
3.597837e-09;-6.0437834e-08;
3.6900893e-09;-6.0471876e-08;
3.7823415e-09;-6.0517181e-08;
